element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Type,
Fe,23,"=""""","=""1.1018""","=""""","=""2.7e+12""",D,,
Fe,17,"=""1.1023""","=""1.1023""","=""""","=""2.1e+12""",D,,
Se,34,"=""""","=""1.1023154""","=""""","=""2.0286e+10""",AA,,
Se,34,"=""""","=""1.102357""","=""""","=""7.5949e+11""",AA,,
Cr,20,"=""1.1030""","=""1.1035*""","=""5""","=""""",,,
Fe,24,"=""1.1030""","=""1.10290""","=""""","=""1.84e+13""",B,,
Ti,21,"=""""","=""1.1030""","=""""","=""4.0e+12""",C,,
Fe,17,"=""1.1043""","=""1.1042""","=""""","=""2.9e+11""",E,,
Kr,34,"=""""","=""1.1046""","=""""","=""""",,,
Fe,23,"=""""","=""1.1047""","=""""","=""1.9e+11""",D,,
Co,23,"=""1.1048""","=""1.1058*""","=""""","=""""",,,
Ti,21,"=""""","=""1.1058""","=""""","=""5.2e+11""",C,,
Se,34,"=""""","=""1.106221""","=""""","=""9.2257e+11""",AA,,
Se,34,"=""""","=""1.1062782""","=""""","=""2.3947e+11""",AA,,
Se,34,"=""""","=""1.10635254""","=""""","=""6.0770e+12""",AA,,
Co,23,"=""1.1064""","=""1.1063*""","=""""","=""""",,,
Cu,21,"=""1.1065""","=""1.1065*""","=""12""","=""""",,,
Se,34,"=""""","=""1.10699522""","=""""","=""4.0153e+11""",AA,,
Co,23,"=""1.1070""","=""1.11*""","=""""","=""""",,,
Ba,29,"=""1.1072""","=""1.1072""","=""18""","=""1.74e+13""",,,
Mn,24,"=""""","=""1.1080""","=""""","=""""",,,
Se,34,"=""""","=""1.1082815""","=""""","=""1.9192e+11""",AA,,
Mo,41,"=""""","=""1.1087""","=""""","=""""",,,
Na,10,"=""1.1088""","=""1.10831679""","=""""","=""1.40e+10""",,,
Na,9,"=""1.1088""","=""1.10895""","=""*""","=""""",,,
Na,9,"=""1.1088""","=""1.10903""","=""*""","=""""",,,
Cu,21,"=""1.1097""","=""1.110*""","=""45""","=""""",,,
Mn,24,"=""""","=""1.1099""","=""""","=""""",,,
Mn,24,"=""""","=""1.1099""","=""""","=""""",,,
Mn,24,"=""""","=""1.1098""","=""""","=""6.61e+12""",C,,
Mo,40,"=""""","=""1.11020""","=""""","=""""",,,
Co,23,"=""1.1105""","=""1.110*""","=""""","=""""",,,
Co,23,"=""1.1105""","=""1.1095*""","=""""","=""""",,,
Co,18,"=""1.1108""","=""1.1107*""","=""""","=""7.6e+12""",D,,
Cu,21,"=""1.1114""","=""1.1114*""","=""""","=""""",,,
Fe,17,"=""1.1133""","=""1.1133""","=""8""","=""""",,,
Cu,21,"=""1.1136""","=""1.1137*""","=""10""","=""""",,,
Ni,20,"=""1.1138""","=""1.1138""","=""""","=""""",,,
Sc,19,"=""""","=""1.1140""","=""""","=""5.930e+11""",C+',,
Co,24,"=""1.1141""","=""1.1141*""","=""""","=""2.6e+12""",D,,
Co,24,"=""1.1141""","=""1.1142*""","=""""","=""2.4e+12""",D,,
Mo,40,"=""""","=""1.11471""","=""""","=""""",,,
Ba,52,"=""""","=""1.1149""","=""""","=""4.30e+09""",,,
Co,18,"=""1.1155""","=""1.1154*""","=""""","=""6.1e+10""",E,,
Na,9,"=""1.1155""","=""1.11542""","=""*""","=""""",,,
Na,9,"=""1.1155""","=""1.11561""","=""*""","=""""",,,
Ni,20,"=""1.1158""","=""1.1158""","=""""","=""""",,,
Ni,21,"=""""","=""1.1159""","=""""","=""1.7e+12""",E,,
Cu,21,"=""1.1162""","=""1.1162*""","=""7""","=""""",,,
Fe,23,"=""1.1166""","=""1.1165""","=""""","=""6.7e+12""",C,,
Fe,24,"=""1.1171""","=""1.1171""","=""""","=""2.18e+13""",B,,
Co,23,"=""1.1173""","=""1*""","=""""","=""""",,,
Ba,28,"=""1.1173""","=""1.1173""","=""18""","=""1.21e+13""",,,
Ni,20,"=""1.1176""","=""1.1176""","=""""","=""""",,,
Cu,21,"=""1.1185""","=""1.1187*""","=""6""","=""""",,,
Fe,24,"=""1.1187""","=""1.11879""","=""""","=""3.6e+12""",B,,
Na,10,"=""1.1192""","=""1.11917507""","=""""","=""""",,M1,
Co,23,"=""1.1197""","=""1.120*""","=""""","=""""",,,
Na,9,"=""1.1202""","=""1.1195""","=""*""","=""""",,,
Na,9,"=""1.1202""","=""1.1199""","=""*""","=""""",,,
Na,9,"=""1.1202""","=""1.1200""","=""*""","=""""",,,
Sc,19,"=""1.1204""","=""1.1204""","=""*""","=""7.010e+11""",C+',,
Sc,19,"=""1.1204""","=""1.1204""","=""*""","=""1.200e+11""",D',,
Mn,24,"=""""","=""1.1209""","=""""","=""""",,,
Ga,31,"=""""","=""1.121103""","=""""","=""1.6007e+11""",AA,,
Ga,31,"=""""","=""1.121458""","=""""","=""9.0373e+11""",AA,,
V,20,"=""1.1215""","=""1.12150*""","=""1""","=""""",,,
Mo,41,"=""""","=""1.1215""","=""""","=""""",,,
Cr,24,"=""""","=""1.12171748""","=""""","=""1.8124e+13""",AA,,
Cr,24,"=""""","=""1.1221429""","=""""","=""7.3878e+12""",AA,,
Mn,24,"=""""","=""1.1223""","=""""","=""""",,,
Ba,28,"=""1.1223""","=""1.1223""","=""4""","=""7.9e+12""",,,
Ni,20,"=""1.1226""","=""1.1226""","=""""","=""""",,,
Ni,20,"=""1.1226""","=""1.1226""","=""""","=""""",,,
Ni,20,"=""1.1226""","=""1.1226""","=""""","=""""",,,
Ni,21,"=""1.1229""","=""1.1229""","=""""","=""""",,,
Ba,50,"=""""","=""1.1230""","=""""","=""1.07e+11""",,,
Ni,21,"=""1.1239""","=""1.1241""","=""""","=""5.7e+12""",E,,
V,20,"=""1.1243""","=""1.1243*""","=""3""","=""""",,,
Ba,49,"=""""","=""1.1244""","=""""","=""4.24e+10""",,,
Mo,41,"=""""","=""1.12446""","=""""","=""""",,,
Fe,23,"=""""","=""1.1247""","=""""","=""2.1e+12""",D,,
Mo,41,"=""""","=""1.1250""","=""""","=""""",,,
Fe,17,"=""1.1253""","=""1.1252""","=""7""","=""""",,,
Fe,18,"=""1.1253""","=""1.1253""","=""45""","=""""",,,
Mo,41,"=""""","=""1.1256""","=""""","=""""",,,
Mo,41,"=""""","=""1.1257""","=""""","=""""",,,
Mo,41,"=""""","=""1.12580""","=""""","=""""",,,
Fe,24,"=""1.1261""","=""1.12606""","=""""","=""7.9e+11""",D,,
Mn,24,"=""""","=""1.1260""","=""""","=""7.4e+11""",C,,
Cr,24,"=""""","=""1.1262151""","=""""","=""7.1297e+11""",AA,,
Ni,21,"=""""","=""1.1264""","=""""","=""1.7e+12""",D,,
Cr,24,"=""""","=""1.1267835""","=""""","=""7.6036e+12""",AA,,
Ni,21,"=""1.1272""","=""1.1272""","=""""","=""""",,,
Ni,20,"=""1.1282""","=""1.1282""","=""""","=""""",,,
Ba,50,"=""""","=""1.1286""","=""""","=""2.38e+10""",,,
K,19,"=""""","=""1.12862459""","=""""","=""3.2310e+10""",AA,,
Fe,17,"=""1.1287""","=""1.1287""","=""2""","=""""",,,
K,19,"=""""","=""1.12882787""","=""""","=""3.7572e+11""",AA,,
Fe,23,"=""1.1298""","=""1.1298""","=""""","=""1.3e+13""",C,,
Ni,21,"=""1.1302""","=""1.1302""","=""""","=""""",,,
V,20,"=""1.1308""","=""1.1308*""","=""2""","=""""",,,
Ba,27,"=""1.1312""","=""1.1312""","=""4""","=""6.95e+13""",,,
Ni,21,"=""1.1318""","=""1.1318""","=""""","=""""",,,
Ni,21,"=""1.1318""","=""1.1318""","=""""","=""""",,,
Ni,21,"=""1.1318""","=""1.1319""","=""""","=""2.8e+13""",D,,
Co,18,"=""1.1321""","=""1.1321*""","=""""","=""3.8e+11""",D,,
Fe,23,"=""1.1325""","=""1.1325""","=""""","=""1.7e+13""",C,,
Fe,18,"=""1.1326""","=""1.1326""","=""55""","=""""",,,
Fe,18,"=""1.1326""","=""1.1326""","=""55""","=""""",,,
Fe,18,"=""1.1326""","=""1.1326""","=""55""","=""""",,,
Fe,18,"=""1.1326""","=""1.1326""","=""55""","=""""",,,
Fe,23,"=""""","=""1.1338""","=""""","=""9.3e+12""",C,,
Ga,31,"=""""","=""1.1342714""","=""""","=""3.4844e+11""",AA,,
Ga,31,"=""""","=""1.1342875""","=""""","=""8.4078e+10""",AA,,
K,19,"=""""","=""1.13480826""","=""""","=""6.6990e+10""",AA,,
Cu,21,"=""1.1352""","=""1.1351*""","=""""","=""""",,,
Cr,24,"=""""","=""1.13595657""","=""""","=""2.1442e+13""",AA,,
Cr,24,"=""""","=""1.13751483""","=""""","=""3.5711e+12""",AA,,
Sc,19,"=""1.1377""","=""1.1377""","=""g*""","=""6.900e+11""",C+',,
Sc,19,"=""1.1377""","=""1.1377""","=""g*""","=""6.900e+11""",C+',,
V,20,"=""1.1378""","=""1.13780*""","=""1""","=""""",,,
Cu,20,"=""1.1383""","=""1.138044*""","=""8""","=""""",,,
Mn,24,"=""""","=""1.1387""","=""""","=""""",,,
Mn,24,"=""""","=""1.1387""","=""""","=""2.2e+13""",C+,,
Sr,28,"=""1.1387""","=""1.1387""","=""1""","=""8.28e+11""",,,
Fe,23,"=""""","=""1.1398""","=""""","=""1.7e+12""",D,,
Ba,50,"=""""","=""1.1403""","=""""","=""7.47e+10""",,,
Ba,52,"=""""","=""1.1415""","=""""","=""4.31e+08""",,,
Fe,17,"=""1.1420""","=""1.1419""","=""3""","=""""",,,
Fe,18,"=""1.1420""","=""1.1420""","=""""","=""""",,,
Cr,24,"=""""","=""1.1421403""","=""""","=""1.5177e+12""",AA,,
Fe,24,"=""1.1426""","=""1.14263""","=""""","=""1.80e+12""",C,,
V,20,"=""1.1427""","=""1.14270*""","=""4bl""","=""""",,,
V,20,"=""1.1427""","=""1.14270*""","=""4bl""","=""""",,,
V,20,"=""1.1427""","=""1.14270*""","=""4bl""","=""""",,,
Co,24,"=""1.1430""","=""1.1429*""","=""""","=""9.2e+11""",D,,
Fe,18,"=""1.1440""","=""1.1440""","=""50""","=""""",,,
Fe,18,"=""1.1440""","=""1.1440""","=""50""","=""""",,,
Fe,18,"=""1.1442""","=""1.1416""","=""""","=""""",,,
Fe,22,"=""1.1442""","=""1.1442""","=""""","=""""",,,
Fe,23,"=""1.1442""","=""1.1441""","=""""","=""2.2e+13""",C,,
Fe,23,"=""""","=""1.1445""","=""""","=""5.6e+12""",C,,
Mo,40,"=""""","=""1.14473""","=""""","=""""",,,
Ti,20,"=""""","=""1.1452""","=""""","=""1.7e+12""",C+',,
Ti,20,"=""""","=""1.1462""","=""""","=""1.7e+12""",C+',,
Fe,18,"=""1.1458""","=""1.1458""","=""30""","=""""",,,
Fe,18,"=""1.1458""","=""1.1458""","=""30""","=""""",,,
Fe,23,"=""""","=""1.1458""","=""""","=""6.1e+11""",D,,
Fe,23,"=""1.1459""","=""1.1460""","=""""","=""1.9e+12""",D,,
Fe,22,"=""1.1459""","=""1.1459""","=""""","=""""",,,
Ni,21,"=""1.1478""","=""1.1479""","=""""","=""""",,,
V,20,"=""1.1478""","=""1.14780*""","=""1""","=""""",,,
Mo,40,"=""""","=""1.14808""","=""""","=""""",,,
Co,18,"=""1.1486""","=""1.1486*""","=""""","=""4.2e+11""",D,,
Mn,24,"=""""","=""1.1489""","=""""","=""2.1e+12""",C+,,
Fe,23,"=""""","=""1.1491""","=""""","=""1.5e+12""",D,,
Fe,23,"=""1.1493""","=""1.1493""","=""""","=""""",,,
Ba,52,"=""""","=""1.1496""","=""""","=""1.57e+09""",,,
W,46,"=""1.1510""","=""1.1511""","=""40""","=""""",,,
Ni,21,"=""1.1517""","=""1.1468""","=""""","=""""",,,
Ni,21,"=""1.1517""","=""1.1517""","=""""","=""""",,,
Ni,21,"=""1.1517""","=""1.1516""","=""""","=""1.4e+13""",D,,
Ni,21,"=""1.1517""","=""1.1516""","=""""","=""4.0e+13""",E,,
Fe,23,"=""1.1519""","=""1.1520""","=""""","=""2.16e+13""",C,,
Fe,23,"=""1.1519""","=""1.1519""","=""""","=""1.16e+13""",C,,
Sr,28,"=""1.1519""","=""1.1519""","=""2""","=""5.93e+11""",,,
V,20,"=""1.1523""","=""1.1523*""","=""4""","=""""",,,
V,20,"=""1.1523""","=""1.15230*""","=""4""","=""""",,,
Fe,23,"=""1.1525""","=""1.1524""","=""""","=""2.3e+13""",C,,
As,33,"=""""","=""1.152540""","=""""","=""3.4119e+12""",AA,,
Fe,18,"=""1.1526""","=""1.1526""","=""50""","=""""",,,
Fe,18,"=""1.1526""","=""1.1526""","=""50""","=""""",,,
As,33,"=""""","=""1.152943""","=""""","=""1.9090e+12""",AA,,
Mo,40,"=""""","=""1.15334""","=""""","=""""",,,
Sr,28,"=""1.1535""","=""1.1535""","=""j""","=""6.42e+11""",,,
Ni,19,"=""1.1537""","=""1.1537""","=""""","=""4.8e+12""",D,,
Ni,21,"=""1.1539""","=""1.1539""","=""""","=""1.2e+13""",D,,
Ne,9,"=""""","=""1.1547""","=""""","=""2.478e+12""",AA,,
Fe,18,"=""1.1551""","=""1.1551""","=""50""","=""""",,,
Ba,50,"=""""","=""1.1555""","=""""","=""1.46e+09""",,,
F,9,"=""""","=""1.1560326641""","=""""","=""1.2947e+11""",AA,,
F,9,"=""""","=""1.1560445812""","=""""","=""1.2929e+11""",AA,,
As,33,"=""""","=""1.156278""","=""""","=""3.6836e+11""",AA,,
Mn,23,"=""""","=""1.1553""","=""""","=""6.14e+12""",B,,
W,46,"=""1.1567""","=""1.1568""","=""40""","=""""",,,
As,33,"=""""","=""1.156781""","=""""","=""2.0018e+12""",AA,,
Ne,9,"=""""","=""1.1568""","=""""","=""1.604e+09""",AA,,
Ba,50,"=""""","=""1.1579""","=""""","=""9.25e+10""",,,
Fe,23,"=""1.1594""","=""1.1596""","=""""","=""1.2e+12""",D,,
Fe,23,"=""1.1594""","=""1.1593""","=""""","=""3.58e+13""",C,,
Cu,20,"=""1.1594""","=""1.159217*""","=""10""","=""""",,,
Ni,19,"=""1.1597""","=""1.1597""","=""""","=""6.3e+11""",E,,
Ni,21,"=""""","=""1.1597""","=""""","=""6.4e+11""",E,,
Ne,8,"=""1.160""","=""1.159""","=""""","=""""",,,
Mn,23,"=""""","=""1.1597""","=""""","=""6.34e+12""",B,,
Fe,23,"=""1.1614""","=""1.1615""","=""""","=""4.4e+12""",C,,
Fe,23,"=""1.1614""","=""1.1613""","=""""","=""1.0e+13""",D,,
V,20,"=""1.1615""","=""1.16149*""","=""1""","=""""",,,
Fe,18,"=""1.1640""","=""1.1640""","=""15""","=""""",,,
Fe,22,"=""1.1650""","=""1.1650""","=""""","=""""",,,
Cs,28,"=""""","=""1.1658""","=""""","=""1.42e+13""",,,
Ba,49,"=""""","=""1.1665""","=""""","=""1.14e+09""",,,
Fe,22,"=""1.1669""","=""1.1669""","=""""","=""""",,,
Fe,23,"=""""","=""1.1674""","=""""","=""2.3e+12""",D,,
W,46,"=""1.1675""","=""1.1669""","=""60""","=""""",,,
Fe,23,"=""""","=""1.1675""","=""""","=""2.1e+11""",D,,
Sc,20,"=""""","=""1.1686""","=""""","=""1.5e+12""",C+,,
Fe,23,"=""1.1692""","=""1.1691""","=""""","=""7.7e+12""",C,,
As,33,"=""""","=""1.16924701""","=""""","=""5.0921e+12""",AA,,
As,33,"=""""","=""1.169278""","=""""","=""4.0383e+12""",AA,,
Ho,67,"=""""","=""1.16946""","=""""","=""2.3159e+12""",AA,,
Fe,23,"=""""","=""1.1698""","=""""","=""7.3e+12""",D,,
Fe,23,"=""""","=""1.1702""","=""""","=""4.4e+11""",D,,
As,33,"=""""","=""1.1705194""","=""""","=""1.7988e+10""",AA,,
As,33,"=""""","=""1.170560""","=""""","=""6.7384e+11""",AA,,
F,9,"=""""","=""1.1707412454""","=""""","=""2.2560e+11""",AA,,
F,9,"=""""","=""1.1707623673""","=""""","=""2.2534e+11""",AA,,
Ba,52,"=""""","=""1.1711""","=""""","=""9.71e+09""",,,
Cs,28,"=""""","=""1.1729""","=""""","=""6.30e+09""",,,
Ba,52,"=""""","=""1.1730""","=""""","=""3.69e+10""",,,
Cu,20,"=""1.1736""","=""1.173596*""","=""7""","=""""",,,
Cu,21,"=""1.1736""","=""1.174*""","=""""","=""""",,,
Fe,23,"=""1.1737""","=""1.1736""","=""""","=""1.8e+13""",C,,
Fe,18,"=""1.1741""","=""1.1741""","=""10""","=""""",,,
Co,19,"=""1.1744""","=""1.1744*""","=""""","=""""",,,
As,33,"=""""","=""1.174416""","=""""","=""8.1254e+11""",AA,,
As,33,"=""""","=""1.1744754""","=""""","=""2.1037e+11""",AA,,
As,33,"=""""","=""1.17455579""","=""""","=""5.3929e+12""",AA,,
Fe,22,"=""1.1748""","=""1.1748""","=""""","=""1.2e+13""",D,,
Fe,22,"=""1.1748""","=""1.1747""","=""""","=""1.8e+13""",D,,
Fe,22,"=""1.1748""","=""1.1747""","=""""","=""4.8e+12""",D,,
Fe,22,"=""1.1748""","=""1.1747""","=""""","=""1.6e+13""",D,,
Fe,23,"=""1.1748""","=""1.1744""","=""""","=""1.3e+12""",D,,
As,33,"=""""","=""1.17519836""","=""""","=""3.5652e+11""",AA,,
As,33,"=""""","=""1.1764838""","=""""","=""1.6969e+11""",AA,,
Fe,22,"=""1.1767""","=""1.1767""","=""""","=""1.6e+13""",D,,
Cu,18,"=""1.1774""","=""1.1774*""","=""2""","=""""",,,
Sc,19,"=""1.1777""","=""1.1774""","=""""","=""1.09e+12""",C+',,
Fe,18,"=""1.1778""","=""1.1778""","=""10""","=""""",,,
Ni,20,"=""1.1779""","=""1.1779""","=""""","=""""",,,
Ni,20,"=""1.1787""","=""1.1787""","=""""","=""""",,,
Fe,22,"=""1.1789""","=""1.1788""","=""""","=""2.6e+13""",D,,
Fe,22,"=""1.1789""","=""1.1789""","=""""","=""1.2e+13""",D,,
Mn,22,"=""1.1793""","=""1.1767*""","=""""","=""2.4e+11""",D,,
Mn,22,"=""1.1793""","=""1.1783*""","=""""","=""""",,,
Fe,22,"=""1.1797""","=""1.1796""","=""""","=""1.7e+13""",D,,
Ba,50,"=""""","=""1.1802""","=""""","=""1.02e+09""",,,
Fe,22,"=""1.1823""","=""1.1822""","=""""","=""7.9e+12""",D,,
Cu,21,"=""1.1830""","=""1.1832*""","=""8""","=""""",,,
Ni,20,"=""1.1831""","=""1.1831""","=""""","=""""",,,
Fe,22,"=""1.1837""","=""1.1836""","=""""","=""2.3e+13""",D,,
Fe,22,"=""1.1837""","=""1.1821""","=""""","=""1.7e+13""",D,,
Ba,50,"=""""","=""1.1837""","=""""","=""3.87e+08""",,,
Ba,31,"=""1.1839""","=""""","=""4""","=""""",,,
Sc,19,"=""1.1845""","=""1.1845""","=""*""","=""1.29e+12""",C+',,
Sc,19,"=""1.1845""","=""1.1845""","=""*""","=""2.200e+11""",D',,
Ni,20,"=""1.1846""","=""1.1843""","=""""","=""""",,,
Cr,23,"=""""","=""1.1851""","=""""","=""5.8e+12""",C,,
Y,39,"=""""","=""1.185157""","=""""","=""1.3559e+13""",AA,,
Mn,16,"=""1.1853""","=""1.1850*""","=""2""","=""""",,,
Mo,40,"=""""","=""1.18550""","=""""","=""""",,,
Fe,23,"=""""","=""1.1857""","=""""","=""2.3e+12""",D,,
Y,39,"=""""","=""1.185902""","=""""","=""6.7623e+12""",AA,,
Fe,18,"=""1.1865""","=""1.1865""","=""20""","=""""",,,
Ni,20,"=""1.1869""","=""1.1871""","=""""","=""2.3e+13""",D,,
Fe,23,"=""1.1870""","=""1.1873""","=""""","=""2.1e+12""",D,,
Ti,20,"=""""","=""1.1872""","=""""","=""2.8e+12""",B,,
Ba,31,"=""1.1875""","=""""","=""4""","=""""",,,
Mn,22,"=""1.1876""","=""1.1873*""","=""""","=""""",,,
Mn,22,"=""1.1876""","=""1.18760*""","=""""","=""5.7e+12""",D,,
Mn,22,"=""1.1876""","=""1.18761*""","=""""","=""""",,,
Mn,22,"=""1.1876""","=""1.1875*""","=""""","=""4.5e+12""",C,,
Co,20,"=""1.1880""","=""1.1880*""","=""""","=""""",,UT,
Fe,22,"=""1.1886""","=""1.1885""","=""""","=""1.3e+13""",D,,
Co,19,"=""1.1892""","=""1.1892*""","=""""","=""""",,,
Mo,32,"=""1.1898""","=""1.18929*""","=""8""","=""""",,,
Fe,23,"=""1.1898""","=""1.1897""","=""""","=""2.03e+13""",C,,
Cs,51,"=""""","=""1.1898""","=""""","=""4.06e+09""",,,
Ba,31,"=""1.1900""","=""""","=""6""","=""""",,,
Ne,8,"=""1.1905""","=""1.1903""","=""900bl*""","=""""",,,
Ne,8,"=""1.1905""","=""1.1905""","=""900bl*""","=""""",,,
Ne,8,"=""1.1905""","=""1.1907""","=""900bl*""","=""""",,,
Ne,8,"=""1.1905""","=""1.19119""","=""900bl*""","=""""",,,
Co,19,"=""1.1906""","=""1.1906*""","=""""","=""""",,,
Mn,22,"=""1.1906""","=""1.1910*""","=""""","=""""",,,
Mn,22,"=""1.1906""","=""1.19060*""","=""""","=""4.5e+12""",C,,
Mn,22,"=""1.1906""","=""1.19060*""","=""""","=""4.7e+12""",C,,
Cu,21,"=""1.1920""","=""1.1922*""","=""4""","=""""",,,
Fe,22,"=""1.1921""","=""1.1921""","=""""","=""1.8e+13""",D,,
Ne,8,"=""1.1930""","=""1.1933""","=""1500bl*""","=""""",,,
Ne,8,"=""1.1930""","=""1.1936""","=""1500bl*""","=""""",,,
Fe,22,"=""1.1935""","=""1.1934""","=""""","=""3.0e+12""",D,,
Sc,20,"=""""","=""1.1934""","=""""","=""1.4e+12""",C+,,
K,19,"=""""","=""1.19373393""","=""""","=""1.0396e+12""",AA,,
W,46,"=""1.1938""","=""1.1938""","=""40""","=""""",,,
K,19,"=""""","=""1.19395229""","=""""","=""6.4553e+11""",AA,,
K,19,"=""""","=""1.19415913""","=""""","=""5.6674e+10""",AA,,
K,19,"=""""","=""1.19439270""","=""""","=""6.5105e+11""",AA,,
Co,19,"=""1.1954""","=""1.1955*""","=""""","=""""",,,
Cu,21,"=""1.1956""","=""1.1957*""","=""6""","=""""",,,
Ti,20,"=""""","=""1.19567""","=""""","=""""",,,
Mo,32,"=""1.1957""","=""1.1951*""","=""17""","=""""",,,
Ti,19,"=""1.1958""","=""1.19581*""","=""""","=""""",,,
Ti,20,"=""""","=""1.1957""","=""""","=""3.4e+12""",B,,
Mn,22,"=""""","=""1.1959""","=""""","=""1.3e+12""",D,,
Ni,20,"=""1.1960""","=""1.1960""","=""""","=""""",,,
Ti,20,"=""""","=""1.1960""","=""""","=""5.6e+11""",C+,,
Mn,22,"=""1.1971""","=""1.1970*""","=""""","=""6.5e+12""",C,,
Mn,16,"=""1.1971""","=""1.1970*""","=""1""","=""""",,,
Ni,20,"=""""","=""1.1972""","=""""","=""""",,,
Ni,20,"=""1.1974""","=""1.1975""","=""""","=""""",,,
Fe,22,"=""1.1976""","=""1.1975""","=""""","=""5.9e+12""",D,,
Cs,49,"=""""","=""1.1977""","=""""","=""2.58e+10""",,,
Zn,30,"=""""","=""1.198240""","=""""","=""1.4018e+11""",AA,,
Sc,20,"=""""","=""1.1982""","=""""","=""1.500e+11""",D,,
Zn,30,"=""""","=""1.198601""","=""""","=""7.9146e+11""",AA,,
Cs,48,"=""""","=""1.1988""","=""""","=""4.13e+10""",,,
F,9,"=""""","=""1.1988212874""","=""""","=""4.4750e+11""",AA,,
F,9,"=""""","=""1.1988645490""","=""""","=""4.4712e+11""",AA,,
Ni,20,"=""1.1991""","=""1.1990""","=""""","=""""",,,
Mn,22,"=""1.1997""","=""1.19970*""","=""0""","=""2.2e+12""",D,,
Mn,22,"=""1.1997""","=""1.1998*""","=""0""","=""4.3e+12""",C,,
Ba,30,"=""1.2004""","=""""","=""20*""","=""""",,,
K,19,"=""""","=""1.20050657""","=""""","=""1.2296e+12""",AA,,
Ni,20,"=""1.2006""","=""1.2006""","=""""","=""""",,,
Y,39,"=""""","=""1.200652""","=""""","=""1.4791e+12""",AA,,
K,19,"=""""","=""1.20065383""","=""""","=""2.0388e+11""",AA,,
Ti,19,"=""1.2010""","=""1.20100*""","=""""","=""2.5e+12""",D,,
Fe,22,"=""""","=""1.2010""","=""""","=""7.2e+12""",D,,
K,19,"=""""","=""1.20108396""","=""""","=""1.1753e+11""",AA,,
Co,19,"=""1.2015""","=""1.2015*""","=""""","=""""",,,
Mn,22,"=""""","=""1.2017""","=""""","=""1.9e+11""",D,,
Y,39,"=""""","=""1.201784""","=""""","=""7.4380e+12""",AA,,
Ba,38,"=""""","=""1.2024""","=""""","=""2.79e+09""",,E2,
Mn,23,"=""""","=""1.2019""","=""""","=""1.54e+13""",B,,
Fe,22,"=""1.2027""","=""1.2027""","=""""","=""6.9e+12""",D,,
Cu,21,"=""1.2029""","=""1.2029*""","=""""","=""""",,,
Cs,49,"=""""","=""1.2039""","=""""","=""2.32e+10""",,,
Ni,20,"=""1.2042""","=""1.2042""","=""""","=""""",,,
Ni,20,"=""1.2042""","=""1.2048""","=""""","=""""",,,
Fe,22,"=""1.2045""","=""1.2044""","=""""","=""2.4e+13""",D,,
Ti,20,"=""""","=""1.20462""","=""""","=""""",,,
Ca,20,"=""""","=""1.20488770""","=""""","=""2.7928e+12""",AA,,
Ca,20,"=""""","=""1.20515244""","=""""","=""1.5463e+12""",AA,,
Fe,22,"=""1.2053""","=""1.2057""","=""""","=""6.1e+12""",D,,
Fe,21,"=""""","=""1.2057""","=""""","=""1.3e+12""",E,,
Ca,20,"=""""","=""1.20592981""","=""""","=""1.3947e+11""",AA,,
Cu,21,"=""1.2061""","=""1.2064*""","=""7""","=""""",,,
Ca,20,"=""""","=""1.20623081""","=""""","=""1.5656e+12""",AA,,
Ba,30,"=""1.2072""","=""""","=""20*""","=""""",,,
Cr,23,"=""""","=""1.2073""","=""""","=""""",,,
Fe,22,"=""1.2077""","=""1.2078""","=""""","=""2.4e+13""",D,,
Fe,22,"=""1.2077""","=""1.2077""","=""""","=""1.0e+13""",D,,
Ni,21,"=""1.2079""","=""1.2082""","=""""","=""9.1e+11""",E,,
Mn,22,"=""1.2079""","=""1.20790*""","=""0""","=""1.1e+12""",D,,
Ni,20,"=""1.2079""","=""1.2077""","=""""","=""3.4e+12""",D,,
Ba,52,"=""""","=""1.2086""","=""""","=""8.08e+09""",,,
Ba,52,"=""""","=""1.2090""","=""""","=""6.78e+09""",,,
Cr,23,"=""""","=""1.2092""","=""""","=""""",,,
Cr,23,"=""""","=""1.2093""","=""""","=""""",,,
Cr,23,"=""""","=""1.2092""","=""""","=""5.6e+12""",C,,
Ba,52,"=""""","=""1.2094""","=""""","=""1.64e+10""",,,
Fe,22,"=""1.2095""","=""1.2091""","=""""","=""7.8e+12""",D,,
Fe,23,"=""1.2095""","=""1.2095""","=""""","=""2.3e+12""",D,,
Fe,23,"=""1.2095""","=""1.2098""","=""""","=""2.1e+12""",D,,
Sr,28,"=""1.2106""","=""1.2106""","=""3""","=""1.11e+12""",,,
Zn,30,"=""""","=""1.2113942""","=""""","=""3.0356e+11""",AA,,
Zn,30,"=""""","=""1.2114116""","=""""","=""7.3060e+10""",AA,,
Ni,20,"=""1.2115""","=""1.2115""","=""""","=""""",,,
Fe,17,"=""1.2123""","=""1.2123""","=""""","=""8.0e+12""",D,,
Ni,20,"=""1.2130""","=""1.2130""","=""""","=""""",,,
Ca,20,"=""""","=""1.21320564""","=""""","=""3.3032e+12""",AA,,
Ne,10,"=""""","=""1.213207793""","=""""","=""6.2608e+12""",AA,,
Ca,20,"=""""","=""1.21356644""","=""""","=""5.4825e+11""",AA,,
Ne,10,"=""""","=""1.213748609""","=""""","=""6.2725e+12""",AA,,
Cu,21,"=""1.2140""","=""1.2142*""","=""7""","=""""",,,
